xVals,yVals
0.2328,0.6316
0.2338,0.6316
0.2347,0.6307
0.2356,0.6261
0.2365,0.6261
0.2375,0.6261
0.2384,0.6261
0.2393,0.6152
0.2403,0.6152
0.2412,0.6152
0.2421,0.6152
0.243,0.6152
0.244,0.6152
0.2449,0.6152
0.2458,0.6152
0.2468,0.6152
0.2477,0.6034
0.2486,0.6034
0.2495,0.6034
0.2505,0.6034
0.2514,0.6034
0.2523,0.5926
0.2532,0.5926
0.2542,0.5926
0.2551,0.5926
0.256,0.5926
0.257,0.5926
0.2579,0.5926
0.2588,0.5926
0.2597,0.5926
0.2607,0.5817
0.2616,0.5817
0.2625,0.5817
0.2635,0.5817
0.2644,0.5817
0.2653,0.5744
0.2662,0.5744
0.2672,0.5744
0.2681,0.5744
0.269,0.5744
0.2699,0.5744
0.2709,0.5744
0.2718,0.5735
0.2727,0.5662
0.2737,0.5662
0.2746,0.5662
0.2755,0.5662
0.2764,0.5662
0.2774,0.5454
0.2783,0.5454
0.2792,0.5454
0.2801,0.5454
0.2811,0.5454
0.282,0.5454
0.2829,0.5454
0.2839,0.5454
0.2848,0.5327
0.2857,0.5245
0.2866,0.5245
0.2876,0.5245
0.2885,0.5245
0.2894,0.5209
0.2904,0.5209
0.2913,0.5209
0.2922,0.5209
0.2931,0.5209
0.2941,0.5209
0.295,0.5209
0.2959,0.5209
0.2968,0.5209
0.2978,0.5172
0.2987,0.5172
0.2996,0.5172
0.3006,0.5172
0.3015,0.5163
0.3024,0.5073
0.3033,0.5073
0.3043,0.5073
0.3052,0.5073
0.3061,0.5073
0.3071,0.5073
0.308,0.5073
0.3089,0.5073
0.3098,0.5073
0.3108,0.4982
0.3117,0.4982
0.3126,0.4982
0.3135,0.4982
0.3145,0.49
0.3154,0.49
0.3163,0.49
0.3173,0.49
0.3182,0.49
0.3191,0.49
0.32,0.49
0.321,0.49
0.3219,0.49
0.3228,0.4809
0.3237,0.4809
0.3247,0.4809
0.3256,0.4809
0.3265,0.4809
0.3275,0.4701
0.3284,0.4701
0.3293,0.4701
0.3302,0.4701
0.3312,0.4701
0.3321,0.4701
0.333,0.4701
0.334,0.4701
0.3349,0.4592
0.3358,0.4592
0.3367,0.4592
0.3377,0.4592
0.3386,0.4592
0.3395,0.4592
0.3404,0.4492
0.3414,0.4492
0.3423,0.4492
0.3432,0.4492
0.3442,0.4492
0.3451,0.4492
0.346,0.4492
0.3469,0.4492
0.3479,0.4392
0.3488,0.4392
0.3497,0.4392
0.3506,0.4392
0.3516,0.4392
0.3525,0.4292
0.3534,0.4292
0.3544,0.4292
0.3553,0.4292
0.3562,0.4292
0.3571,0.4292
0.3581,0.4292
0.359,0.4292
0.3599,0.4292
0.3609,0.4192
0.3618,0.4192
0.3627,0.4192
0.3636,0.4192
0.3646,0.4102
0.3655,0.4102
0.3664,0.4102
0.3673,0.4102
0.3683,0.4102
0.3692,0.4102
0.3701,0.4102
0.3711,0.4102
0.372,0.4102
0.3729,0.4011
0.3738,0.4011
0.3748,0.4011
0.3757,0.4011
0.3766,0.4011
0.3776,0.3938
0.3785,0.3938
0.3794,0.3938
0.3803,0.3938
0.3813,0.3938
0.3822,0.3938
0.3831,0.3938
0.384,0.3947
0.385,0.3938
0.3859,0.3875
0.3868,0.3875
0.3878,0.3875
0.3887,0.3875
0.3896,0.3793
0.3905,0.3793
0.3915,0.3793
0.3924,0.3793
0.3933,0.3793
0.3942,0.3793
0.3952,0.3793
0.3961,0.3793
0.397,0.3793
0.398,0.3711
0.3989,0.3711
0.3998,0.3711
0.4007,0.3711
0.4017,0.3711
0.4026,0.3666
0.4035,0.3666
0.4045,0.3666
0.4054,0.3666
0.4063,0.3666
0.4072,0.3666
0.4082,0.3666
0.4091,0.3666
0.41,0.3612
0.4109,0.3612
0.4119,0.3612
0.4128,0.3612
0.4137,0.3612
0.4147,0.3603
0.4156,0.3566
0.4165,0.3566
0.4174,0.3566
0.4184,0.3566
0.4193,0.3566
0.4202,0.3566
0.4212,0.3566
0.4221,0.3566
0.423,0.353
0.4239,0.353
0.4249,0.353
0.4258,0.353
0.4267,0.353
0.4276,0.3475
0.4286,0.3475
0.4295,0.3475
0.4304,0.3475
0.4314,0.3475
0.4323,0.3475
0.4332,0.3475
0.4341,0.3475
0.4351,0.3475
0.436,0.3421
0.4369,0.3421
0.4378,0.3421
0.4388,0.3421
0.4397,0.3403
0.4406,0.3394
0.4416,0.3394
0.4425,0.3394
0.4434,0.3394
0.4443,0.3394
0.4453,0.3394
0.4462,0.3394
0.4471,0.3394
0.4481,0.3367
0.449,0.3367
0.4499,0.3367
0.4508,0.3367
0.4518,0.3348
0.4527,0.3339
0.4536,0.333
0.4545,0.333
0.4555,0.333
0.4564,0.333
0.4573,0.333
0.4583,0.333
0.4592,0.333
0.4601,0.3312
0.461,0.3294
0.462,0.3294
0.4629,0.3303
0.4638,0.3303
0.4647,0.3276
0.4657,0.3267
0.4666,0.3267
0.4675,0.3267
0.4685,0.3267
0.4694,0.3267
0.4703,0.3267
0.4712,0.3276
0.4722,0.3267
0.4731,0.324
0.474,0.324
0.475,0.324
0.4759,0.324
0.4768,0.324
0.4777,0.323
0.4787,0.323
0.4796,0.323
0.4805,0.323
0.4814,0.323
0.4824,0.323
0.4833,0.323
0.4842,0.323
0.4852,0.3221
0.4861,0.3221
0.487,0.3221
0.4879,0.3221
0.4889,0.3221
0.4898,0.3167
0.4907,0.3167
0.4917,0.3167
0.4926,0.3167
0.4935,0.3167
0.4944,0.3167
0.4954,0.3167
0.4963,0.3167
0.4972,0.3167
0.4981,0.3122
0.4991,0.3122
0.5,0.3122
0.5009,0.3122
0.5019,0.3113
0.5028,0.3103
0.5037,0.3103
0.5046,0.3103
0.5056,0.3103
0.5065,0.3103
0.5074,0.3103
0.5083,0.3103
0.5093,0.3103
0.5102,0.3103
0.5111,0.3085
0.5121,0.3085
0.513,0.3085
0.5139,0.3085
0.5148,0.3067
0.5158,0.3067
0.5167,0.3067
0.5176,0.3067
0.5186,0.3067
0.5195,0.3067
0.5204,0.3067
0.5213,0.3067
0.5223,0.3067
0.5232,0.304
0.5241,0.304
0.525,0.304
0.526,0.304
0.5269,0.304
0.5278,0.3004
0.5288,0.3004
0.5297,0.3004
0.5306,0.3004
0.5315,0.3004
0.5325,0.3004
0.5334,0.3004
0.5343,0.3004
0.5353,0.2985
0.5362,0.2967
0.5371,0.2967
0.538,0.2967
0.539,0.2967
0.5399,0.2967
0.5408,0.2913
0.5417,0.2913
0.5427,0.2913
0.5436,0.2913
0.5445,0.2913
0.5455,0.2913
0.5464,0.2913
0.5473,0.2913
0.5482,0.2858
0.5492,0.2858
0.5501,0.2858
0.551,0.2858
0.5519,0.2849
0.5529,0.2804
0.5538,0.2804
0.5547,0.2804
0.5557,0.2804
0.5566,0.2804
0.5575,0.2804
0.5584,0.2804
0.5594,0.2795
0.5603,0.274
0.5612,0.274
0.5622,0.274
0.5631,0.274
0.564,0.274
0.5649,0.2686
0.5659,0.2686
0.5668,0.2686
0.5677,0.2686
0.5686,0.2686
0.5696,0.2686
0.5705,0.2686
0.5714,0.2686
0.5724,0.2686
0.5733,0.2632
0.5742,0.2632
0.5751,0.2632
0.5761,0.2632
0.577,0.2632
0.5779,0.2559
0.5788,0.2559
0.5798,0.2559
0.5807,0.2559
0.5816,0.2559
0.5826,0.2559
0.5835,0.2559
0.5844,0.2559
0.5853,0.255
0.5863,0.2477
0.5872,0.2477
0.5881,0.2477
0.5891,0.2477
0.59,0.2414
0.5909,0.2405
