           Idx      m_a / eV    P_a->gamma
           724      0.001489    1.1659e+16
           725      0.001489    1.1659e+16
           726      0.001489    1.1659e+16
           727      0.001489    1.1659e+16
           728      0.001489    1.1659e+16
           729      0.001489    1.1659e+16
           730      0.001489    1.1659e+16
           731      0.001489    1.1659e+16
           732      0.001489    1.1659e+16
           733      0.001489    1.1659e+16
           734      0.001489    1.1659e+16
           735      0.001489    1.1659e+16
           736      0.001489    1.1659e+16
           737      0.001489    1.1659e+16
           738      0.001489    1.1659e+16
           739      0.001489    1.1659e+16
           740      0.001489    1.1659e+16
           741      0.001489    1.1659e+16
           742      0.001489    1.1659e+16
           743      0.001489    1.1659e+16
           744       0.00149    1.1659e+16
           745       0.00149    1.1659e+16
           746       0.00149    1.1659e+16
           747       0.00149    1.1659e+16
           748       0.00149    1.1659e+16
           749       0.00149    1.1659e+16
           750       0.00149    1.1659e+16
           751       0.00149    1.1659e+16
           752       0.00149    1.1659e+16
           753       0.00149    1.1659e+16
           754       0.00149    1.1659e+16
           755       0.00149    1.1659e+16
           756       0.00149    1.1659e+16
           757       0.00149    1.1659e+16
           758       0.00149    1.1659e+16
           759       0.00149    1.1659e+16
           760       0.00149    1.1659e+16
           761       0.00149    1.1659e+16
           762       0.00149    1.1659e+16
           763       0.00149    1.1659e+16
           764       0.00149    1.1659e+16
           765       0.00149    1.1659e+16
           766       0.00149    1.1659e+16
           767       0.00149    1.1659e+16
           768       0.00149    1.1659e+16
           769       0.00149    1.1659e+16
           770       0.00149    1.1659e+16
           771       0.00149    1.1659e+16
           772       0.00149    1.1659e+16
           773       0.00149    1.1659e+16
           774       0.00149    1.1659e+16
           775       0.00149    1.1659e+16
           776       0.00149    1.1659e+16
           777       0.00149    1.1659e+16
           778      0.001491    1.1659e+16
           779      0.001491    1.1659e+16
           780      0.001491    1.1659e+16
           781      0.001491    1.1659e+16
           782      0.001491    1.1659e+16
           783      0.001491    1.1659e+16
           784      0.001491    1.1659e+16
           785      0.001491    1.1659e+16
           786      0.001491    1.1659e+16
           787      0.001491    1.1659e+16
           788      0.001491    1.1659e+16
           789      0.001491    1.1659e+16
           790      0.001491    1.1659e+16
           791      0.001491    1.1659e+16
           792      0.001491    1.1659e+16
           793      0.001491    1.1659e+16
           794      0.001491    1.1659e+16
           795      0.001491    1.1659e+16
           796      0.001491    1.1659e+16
           797      0.001491    1.1659e+16
           798      0.001491    1.1659e+16
           799      0.001491    1.1659e+16
           800      0.001491    1.1659e+16
           801      0.001491    1.1659e+16
           802      0.001491    1.1659e+16
           803      0.001491    1.1659e+16
           804      0.001491    1.1659e+16
           805      0.001491    1.1659e+16
           806      0.001491    1.1659e+16
           807      0.001491    1.1659e+16
           808      0.001491    1.1659e+16
           809      0.001491    1.1659e+16
           810      0.001491    1.1659e+16
           811      0.001491    1.1659e+16
           812      0.001492    1.1659e+16
           813      0.001492    1.1659e+16
           814      0.001492    1.1659e+16
           815      0.001492    1.1659e+16
           816      0.001492    1.1659e+16
           817      0.001492    1.1659e+16
           818      0.001492    1.1659e+16
           819      0.001492    1.1659e+16
           820      0.001492    1.1659e+16
           821      0.001492    1.1659e+16
           822      0.001492    1.1659e+16
           823      0.001492    1.1659e+16
           824      0.001492    1.1659e+16
           825      0.001492    1.1659e+16
           826      0.001492    1.1659e+16
           827      0.001492    1.1659e+16
           828      0.001492    1.1659e+16
           829      0.001492    1.1659e+16
           830      0.001492    1.1659e+16
           831      0.001492    1.1659e+16
           832      0.001492    1.1659e+16
           833      0.001492    1.1659e+16
           834      0.001492    1.1659e+16
           835      0.001492    1.1659e+16
           836      0.001492    1.1659e+16
           837      0.001492    1.1659e+16
           838      0.001492    1.1659e+16
           839      0.001492    1.1659e+16
           840      0.001492    1.1659e+16
           841      0.001492    1.1659e+16
           842      0.001492    1.1659e+16
           843      0.001492    1.1659e+16
           844      0.001492    1.1659e+16
           845      0.001493    1.1659e+16
           846      0.001493    1.1659e+16
           847      0.001493    1.1659e+16
           848      0.001493    1.1659e+16
           849      0.001493    1.1659e+16
           850      0.001493    1.1659e+16
           851      0.001493    1.1659e+16
           852      0.001493    1.1659e+16
           853      0.001493    1.1659e+16
           854      0.001493    1.1659e+16
           855      0.001493    1.1659e+16
           856      0.001493    1.1659e+16
           857      0.001493    1.1659e+16
           858      0.001493    1.1659e+16
           859      0.001493    1.1659e+16
           860      0.001493    1.1659e+16
           861      0.001493    1.1659e+16
           862      0.001493    1.1659e+16
           863      0.001493    1.1659e+16
           864      0.001493    1.1659e+16
           865      0.001493    1.1659e+16
           866      0.001493    1.1659e+16
           867      0.001493    1.1659e+16
           868      0.001493    1.1659e+16
