#angle[arcmin],effectiveArea
#extracted from the ESA XMM's X-ray Telescopes PDF. See plots in org/Figs/XMM_Newton for raw
3.868,0.8755
3.887,0.8747
3.906,0.8743
3.925,0.8735
3.944,0.8731
3.962,0.8724
3.981,0.8716
4,0.8708
4.019,0.8704
4.038,0.8696
4.056,0.8688
4.075,0.8684
4.094,0.8677
4.113,0.8669
4.132,0.8665
4.151,0.8657
4.169,0.8649
4.188,0.8641
4.207,0.8637
4.226,0.863
4.245,0.8622
4.264,0.8618
4.282,0.861
4.301,0.8602
4.32,0.8594
4.339,0.8587
4.358,0.8579
4.376,0.8575
4.395,0.8571
4.414,0.8563
4.433,0.8555
4.452,0.8547
4.471,0.854
4.489,0.8532
4.508,0.8524
4.527,0.8516
4.546,0.8512
4.565,0.8508
4.584,0.85
4.602,0.8493
4.621,0.8485
4.64,0.8477
4.659,0.8469
4.678,0.8461
4.696,0.8453
4.715,0.8446
4.734,0.8438
4.753,0.8434
4.772,0.843
4.791,0.8422
4.809,0.8414
4.828,0.8406
4.847,0.8399
4.866,0.8391
4.885,0.8383
4.904,0.8375
4.922,0.8367
4.941,0.8359
4.96,0.8352
4.979,0.8348
4.998,0.834
5.016,0.8332
5.035,0.8328
5.054,0.832
5.073,0.8312
5.092,0.8305
5.111,0.8297
5.129,0.8289
5.148,0.8281
5.167,0.8273
5.186,0.8265
5.205,0.8258
5.224,0.825
5.242,0.8242
5.261,0.8234
5.28,0.8226
5.299,0.8222
5.318,0.8215
5.336,0.8207
5.355,0.8199
5.374,0.8191
5.393,0.8183
5.412,0.8175
5.431,0.8168
5.449,0.816
5.468,0.8152
5.487,0.8144
5.506,0.8136
5.525,0.8128
5.544,0.8125
5.562,0.8117
5.581,0.8109
5.6,0.8101
5.619,0.8093
5.638,0.8085
5.656,0.8078
5.675,0.807
5.694,0.8062
5.713,0.8054
5.732,0.8046
5.751,0.8038
5.769,0.8031
5.788,0.8023
5.807,0.8015
5.826,0.8007
5.845,0.7999
5.864,0.7991
5.882,0.7984
5.901,0.7976
5.92,0.7968
5.939,0.796
5.958,0.7952
5.976,0.7944
5.995,0.7937
6.014,0.7929
