Energy[keV],EffectiveArea[cm²]
7.598,0.4231
7.608,0.4149
7.618,0.4149
7.628,0.4068
7.638,0.3987
7.648,0.3987
7.658,0.3905
7.668,0.3824
7.678,0.3824
7.688,0.3661
7.698,0.3661
7.708,0.3661
7.718,0.3498
7.728,0.3498
7.738,0.3417
7.748,0.3336
7.758,0.3336
7.768,0.3254
7.778,0.3173
7.788,0.3173
7.798,0.3092
7.808,0.301
7.818,0.301
7.828,0.2929
7.838,0.2848
7.848,0.2848
7.858,0.2766
7.868,0.2685
7.878,0.2685
7.888,0.2603
7.898,0.2522
7.908,0.2522
7.918,0.2441
7.928,0.2359
7.938,0.2359
7.948,0.2359
7.958,0.2197
7.968,0.2197
7.978,0.2197
7.988,0.2115
7.998,0.2034
8.008,0.2034
8.018,0.2034
8.028,0.2034
8.038,0.1871
8.048,0.1871
8.058,0.1871
8.068,0.1871
8.078,0.1871
8.088,0.1709
8.098,0.1709
8.108,0.1709
8.118,0.1709
8.128,0.1709
8.138,0.1709
8.148,0.1546
8.158,0.1546
8.168,0.1546
8.178,0.1546
8.188,0.1546
8.198,0.1546
8.208,0.1546
8.218,0.1546
8.228,0.1546
8.238,0.1383
8.248,0.1383
8.258,0.1383
8.268,0.1383
8.278,0.1383
8.288,0.1383
8.298,0.1383
8.308,0.1383
8.318,0.122
8.328,0.122
8.338,0.122
8.348,0.122
8.358,0.122
8.368,0.122
8.378,0.122
8.388,0.122
8.398,0.122
8.408,0.122
8.418,0.122
8.428,0.122
8.438,0.122
8.448,0.1058
8.458,0.1058
8.468,0.1058
8.478,0.1058
8.488,0.1058
8.498,0.1058
8.509,0.1058
8.519,0.1058
8.529,0.1058
8.539,0.1058
8.549,0.1058
8.559,0.1058
8.569,0.1058
8.579,0.1058
8.589,0.09763
8.599,0.0895
8.609,0.0895
8.619,0.0895
8.629,0.0895
8.639,0.0895
8.649,0.0895
8.659,0.0895
8.669,0.0895
8.679,0.0895
8.689,0.0895
8.699,0.0895
8.709,0.0895
8.719,0.0895
8.729,0.0895
8.739,0.0895
8.749,0.0895
8.759,0.0895
8.769,0.0895
8.779,0.0895
8.789,0.08136
8.799,0.08136
8.809,0.07322
8.819,0.07322
8.829,0.07322
8.839,0.07322
8.849,0.07322
8.859,0.07322
8.869,0.07322
8.879,0.07322
8.889,0.07322
8.899,0.07322
8.909,0.07322
8.919,0.07322
8.929,0.07322
8.939,0.05695
8.949,0.05695
8.959,0.05695
8.969,0.05695
8.979,0.05695
8.989,0.05695
8.999,0.05695
9.009,0.05695
9.019,0.05695
9.029,0.05695
9.039,0.05695
9.049,0.05695
9.059,0.05695
9.069,0.05695
9.079,0.05695
9.089,0.05695
9.099,0.05695
9.109,0.05695
9.119,0.05695
9.129,0.05695
9.139,0.05695
9.149,0.05695
9.159,0.05695
9.169,0.05695
9.179,0.05695
9.189,0.04882
9.199,0.04882
9.209,0.04882
9.219,0.04882
9.229,0.04882
9.239,0.04882
9.249,0.04882
9.259,0.04882
9.269,0.04882
9.279,0.04882
9.289,0.04882
9.299,0.04882
9.309,0.04882
9.319,0.04882
9.329,0.04882
9.339,0.04882
9.349,0.04882
9.359,0.04882
9.369,0.04882
9.379,0.04882
9.389,0.04882
9.399,0.04882
9.409,0.04882
9.419,0.04882
9.429,0.04068
9.439,0.04068
9.449,0.04068
9.459,0.04068
9.469,0.04068
9.479,0.04068
9.489,0.04068
9.499,0.04068
9.51,0.04068
9.52,0.04068
9.53,0.04068
9.54,0.04068
9.55,0.04068
9.56,0.04068
9.57,0.04068
9.58,0.04068
9.59,0.04068
9.6,0.04068
9.61,0.04068
9.62,0.04068
9.63,0.04068
9.64,0.04068
9.65,0.04068
9.66,0.04068
9.67,0.04068
9.68,0.04068
9.69,0.04068
9.7,0.04068
9.71,0.04068
9.72,0.04068
9.73,0.04068
9.74,0.04068
9.75,0.04068
9.76,0.04068
9.77,0.04068
9.78,0.04068
9.79,0.04068
9.8,0.04068
9.81,0.04068
9.82,0.04068
9.83,0.04068
9.84,0.04068
9.85,0.04068
9.86,0.04068
9.87,0.04068
9.88,0.04068
9.89,0.04068
9.9,0.04068
9.91,0.04068
9.92,0.04068
9.93,0.04068
9.94,0.04068
9.95,0.04068
9.96,0.04068
9.97,0.04068
9.98,0.04068
9.99,0.04068
10,0.04068
